currency,month,nac_per_eur
HUF,2024-01,382.04
HUF,2024-02,388.04
HUF,2024-03,395.09
HUF,2024-04,392.41
HUF,2024-05,387.18
HUF,2024-06,394.76
HUF,2024-07,392.84
HUF,2024-08,394.7
HUF,2024-09,394.86
HUF,2024-10,401.9
HUF,2024-11,409.25
HUF,2024-12,411.99
HUF,2025-01,411.73
HUF,2025-02,403.13
HUF,2025-03,399.81
HUF,2025-04,406.44
HUF,2025-05,403.94
HUF,2025-06,402.08
HUF,2025-07,399.19
HUF,2025-08,396.45
HUF,2025-09,391.63
HUF,2025-10,389.91
HUF,2025-11,384.2
HUF,2025-12,384.97
HUF,2026-01,384.18
HUF,2026-02,378.61
HUF,2026-03,389.19
HUF,2026-04,368.96
HUF,2026-05,358.23
HUF,2026-06,353.94
HUF,2026-07,359.47
HUF,2026-08,363.38
SEK,2020-01,10.5544
SEK,2020-02,10.5679
SEK,2020-03,10.8751
SEK,2020-04,10.8845
SEK,2020-05,10.597
SEK,2020-06,10.4869
SEK,2020-07,10.3538
SEK,2020-08,10.3087
SEK,2020-09,10.4279
SEK,2020-10,10.3967
SEK,2020-11,10.2311
SEK,2020-12,10.1736
SEK,2021-01,10.0952
SEK,2021-02,10.0887
SEK,2021-03,10.1692
SEK,2021-04,10.162
SEK,2021-05,10.1471
SEK,2021-06,10.1172
SEK,2021-07,10.1979
SEK,2021-08,10.2157
SEK,2021-09,10.171
SEK,2021-10,10.0557
SEK,2021-11,10.0459
SEK,2021-12,10.2726
SEK,2022-01,10.3579
SEK,2022-02,10.5342
SEK,2022-03,10.5463
SEK,2022-04,10.3175
SEK,2022-05,10.4956
SEK,2022-06,10.6005
SEK,2022-07,10.5752
SEK,2022-08,10.5021
SEK,2022-09,10.784
SEK,2022-10,10.9503
SEK,2022-11,10.8798
SEK,2022-12,10.9859
SEK,2023-01,11.2051
SEK,2023-02,11.1725
SEK,2023-03,11.2276
SEK,2023-04,11.337
SEK,2023-05,11.3697
SEK,2023-06,11.6766
SEK,2023-07,11.6343
SEK,2023-08,11.8117
SEK,2023-09,11.8417
SEK,2023-10,11.6472
SEK,2023-11,11.5475
SEK,2023-12,11.2028
SEK,2024-01,11.2834
SEK,2024-02,11.25
SEK,2024-03,11.3054
SEK,2024-04,11.591
SEK,2024-05,11.6186
SEK,2024-06,11.2851
SEK,2024-07,11.5324
SEK,2024-08,11.4557
SEK,2024-09,11.3577
SEK,2024-10,11.4048
SEK,2024-11,11.5828
SEK,2024-12,11.504
SEK,2025-01,11.4797
SEK,2025-02,11.2474
SEK,2025-03,10.9675
SEK,2025-04,10.9744
SEK,2025-05,10.8812
SEK,2025-06,11.0094
SEK,2025-07,11.1985
SEK,2025-08,11.161
SEK,2025-09,11.0004
SEK,2025-10,10.9699
SEK,2025-11,10.9915
SEK,2025-12,10.8956
SEK,2026-01,10.6815
SEK,2026-02,10.6351
SEK,2026-03,10.7614
SEK,2026-04,10.8348
SEK,2026-05,10.8613
SEK,2026-06,10.9548
SEK,2026-07,11.0458
SEK,2026-08,11.0232
HRK,2020-01,7.4429
HRK,2020-02,7.4543
HRK,2020-03,7.5706
HRK,2020-04,7.5928
HRK,2020-05,7.5749
HRK,2020-06,7.5682
HRK,2020-07,7.5296
HRK,2020-08,7.5077
HRK,2020-09,7.5417
HRK,2020-10,7.5746
HRK,2020-11,7.5623
HRK,2020-12,7.5417
HRK,2021-01,7.5653
HRK,2021-02,7.5729
HRK,2021-03,7.5783
HRK,2021-04,7.5679
HRK,2021-05,7.5226
HRK,2021-06,7.498
HRK,2021-07,7.5027
HRK,2021-08,7.496
HRK,2021-09,7.4924
HRK,2021-10,7.5135
HRK,2021-11,7.5195
HRK,2021-12,7.5201
HRK,2022-01,7.5247
HRK,2022-02,7.5338
HRK,2022-03,7.5711
HRK,2022-04,7.5577
HRK,2022-05,7.5356
HRK,2022-06,7.5252
HRK,2022-07,7.5185
HRK,2022-08,7.5138
HRK,2022-09,7.5222
HRK,2022-10,7.5298
HRK,2022-11,7.5426
HRK,2022-12,7.5448
HRK,2023-01,7.5448
HRK,2023-02,7.5448
HRK,2023-03,7.5448
HRK,2023-04,7.5448
HRK,2023-05,7.5448
HRK,2023-06,7.5448
HRK,2023-07,7.5448
HRK,2023-08,7.5448
HRK,2023-09,7.5448
HRK,2023-10,7.5448
HRK,2023-11,7.5448
HRK,2023-12,7.5448
HRK,2024-01,7.5448
HRK,2024-02,7.5448
HRK,2024-03,7.5448
HRK,2024-04,7.5448
HRK,2024-05,7.5448
HRK,2024-06,7.5448
HRK,2024-07,7.5448
HRK,2024-08,7.5448
HRK,2024-09,7.5448
HRK,2024-10,7.5448
HRK,2024-11,7.5448
HRK,2024-12,7.5448
HRK,2025-01,7.5448
HRK,2025-02,7.5448
HRK,2025-03,7.5448
HRK,2025-04,7.5448
HRK,2025-05,7.5448
HRK,2025-06,7.5448
HRK,2025-07,7.5448
HRK,2025-08,7.5448
HRK,2025-09,7.5448
HRK,2025-10,7.5448
HRK,2025-11,7.5448
HRK,2025-12,7.5448
