geo,month,hicp_i15,hicp_2021_100
DE,2024-12,130.2,119.18529254710502
DE,2025-01,129.9,118.91067205736516
DE,2025-02,130.5,119.45991303684491
DE,2025-03,131.0,119.91761385307802
DE,2025-04,131.6,120.46685483255777
DE,2025-05,131.8,120.64993515905103
DE,2025-06,131.9,120.74147532229766
DE,2025-07,132.4,121.19917613853077
DE,2025-08,132.5,121.2907163017774
DE,2025-09,132.8,121.56533679151728
DE,2025-10,133.2,121.93149744450376
DE,2025-11,132.6,121.38225646502401
DE,2025-12,132.8,121.56533679151728
DK,2020-01,102.6,97.83075089392132
DK,2020-02,103.0,98.21215733015495
DK,2020-03,102.7,97.92610250297975
DK,2020-04,102.6,97.83075089392132
DK,2020-05,102.5,97.73539928486294
DK,2020-06,102.6,97.83075089392132
DK,2020-07,103.5,98.68891537544697
DK,2020-08,103.1,98.30750893921333
DK,2020-09,102.9,98.11680572109654
DK,2020-10,103.2,98.40286054827175
DK,2020-11,103.0,98.21215733015495
DK,2020-12,102.8,98.02145411203814
DK,2021-01,103.0,98.21215733015495
DK,2021-02,103.5,98.68891537544697
DK,2021-03,103.6,98.78426698450535
DK,2021-04,104.1,99.26102502979737
DK,2021-05,104.4,99.54707985697259
DK,2021-06,104.5,99.64243146603098
DK,2021-07,105.3,100.4052443384982
DK,2021-08,105.0,100.11918951132301
DK,2021-09,105.4,100.50059594755663
DK,2021-10,106.5,101.54946364719906
DK,2021-11,106.9,101.93087008343267
DK,2021-12,106.3,101.35876042908222
DK,2022-01,108.0,102.9797377830751
DK,2022-02,109.0,103.93325387365913
DK,2022-03,109.8,104.69606674612635
DK,2022-04,111.8,106.60309892729441
DK,2022-05,113.0,107.74731823599524
DK,2022-06,114.0,108.70083432657927
DK,2022-07,115.4,110.0357568533969
DK,2022-08,115.4,110.0357568533969
DK,2022-09,117.1,111.65673420738975
DK,2022-10,118.6,113.0870083432658
DK,2022-11,117.3,111.84743742550656
DK,2022-12,116.5,111.08462455303933
DK,2023-01,117.1,111.65673420738975
DK,2023-02,118.0,112.51489868891538
DK,2023-03,117.8,112.32419547079857
DK,2023-04,118.1,112.61025029797378
DK,2023-05,116.3,110.89392133492252
DK,2023-06,116.7,111.27532777115614
DK,2023-07,119.1,113.56376638855781
DK,2023-08,118.1,112.61025029797378
DK,2023-09,117.8,112.32419547079857
DK,2023-10,118.1,112.61025029797378
DK,2023-11,117.6,112.13349225268176
DK,2023-12,117.0,111.56138259833135
DK,2024-01,118.2,112.70560190703219
DK,2024-02,118.7,113.18235995232419
DK,2024-03,118.7,113.18235995232419
DK,2024-04,118.7,113.18235995232419
DK,2024-05,118.7,113.18235995232419
DK,2024-06,118.8,113.2777115613826
DK,2024-07,120.3,114.70798569725864
DK,2024-08,119.7,114.13587604290822
DK,2024-09,119.2,113.6591179976162
DK,2024-10,120.0,114.42193087008343
DK,2024-11,119.5,113.94517282479141
DK,2024-12,119.1,113.56376638855781
DK,2025-01,119.9,114.32657926102503
DK,2025-02,121.1,115.47079856972586
DK,2025-03,120.4,114.80333730631705
DK,2025-04,120.5,114.89868891537544
DK,2025-05,120.5,114.89868891537544
DK,2025-06,120.9,115.28009535160906
DK,2025-07,122.9,117.18712753277711
DK,2025-08,122.0,116.32896305125149
DK,2025-09,121.8,116.13825983313468
DK,2025-10,122.5,116.80572109654351
DK,2025-11,121.9,116.23361144219308
DK,2025-12,121.4,115.75685339690108
EE,2020-01,109.94,95.83194107477517
EE,2020-02,110.56,96.37237952726161
EE,2020-03,109.89,95.7883573286069
EE,2020-04,109.52,95.46583760696177
EE,2020-05,108.91,94.93411590370896
EE,2020-06,109.67,95.59658884546656
EE,2020-07,109.69,95.61402234393385
EE,2020-08,110.38,96.21547804105587
EE,2020-09,110.22,96.07601005331745
EE,2020-10,109.51,95.45712085772811
EE,2020-11,109.63,95.56172184853195
EE,2020-12,109.62,95.55300509929829
EE,2021-01,110.22,96.07601005331745
EE,2021-02,111.16,96.89538448128077
EE,2021-03,110.87,96.64259875350484
EE,2021-04,111.3,97.0174189705519
EE,2021-05,112.38,97.95882788778637
EE,2021-06,113.76,99.16173928203041
EE,2021-07,115.07,100.30363343163889
EE,2021-08,115.86,100.99225662109743
EE,2021-09,117.25,102.20388476457512
EE,2021-10,116.96,101.95109903679919
EE,2021-11,119.02,103.7467493789316
EE,2021-12,122.81,107.0503973384859
EE,2022-01,122.39,106.68429387067249
EE,2022-02,124.02,108.10512399575782
EE,2022-03,127.31,110.97293449362951
EE,2022-04,132.59,115.57537808899801
EE,2022-05,135.02,117.69354815277555
EE,2022-06,138.79,120.97976261386252
EE,2022-07,141.73,123.54248688855634
EE,2022-08,145.01,126.40158063719436
EE,2022-09,145.5,126.82870134964332
EE,2022-10,143.23,124.84999927360421
EE,2022-11,144.49,125.94830967704445
EE,2022-12,144.3,125.78269144160504
EE,2023-01,145.16,126.53233187569914
EE,2023-02,146.14,127.38657330059708
EE,2023-03,147.2,128.31054871936422
EE,2023-04,150.04,130.78610550172155
EE,2023-05,150.08,130.82097249865618
EE,2023-06,151.3,131.88441590516175
EE,2023-07,150.56,131.23937646187147
EE,2023-08,151.25,131.8408321589935
EE,2023-09,151.17,131.77109816512427
EE,2023-10,150.45,131.14349222030128
EE,2023-11,150.48,131.16964246800225
EE,2023-12,150.45,131.14349222030128
EE,2024-01,152.35,132.79967457469525
EE,2024-02,152.54,132.96529281013466
EE,2024-03,153.2,133.5405982595557
EE,2024-04,154.76,134.9004111400055
EE,2024-05,154.76,134.9004111400055
EE,2024-06,155.48,135.52801708482846
EE,2024-07,155.82,135.82438655877266
EE,2024-08,156.41,136.33867476355817
EE,2024-09,155.95,135.93770429881013
EE,2024-10,157.2,137.0272979530167
EE,2024-11,156.15,136.1120392834832
EE,2024-12,156.57,136.4781427512966
EE,2025-01,158.17,137.87282262868098
EE,2025-02,160.25,139.68590646928072
EE,2025-03,159.76,139.2587857568317
EE,2025-04,161.61,140.87138436505745
EE,2025-05,161.85,141.0805863466651
