rel_month,mean,se,ci_lo,ci_hi,n_countries
-24,0.0010136030727777114,0.007277271621999302,-0.015201168564656102,0.017228374710211526,11
-23,0.0003264051739864445,0.008320185871176345,-0.018212124221328833,0.018864934569301724,11
-22,-0.005899670907200954,0.0033523288146001112,-0.013369124983644553,0.0015697831692426441,11
-21,-0.007441883051206161,0.005663965080331509,-0.02006198370298635,0.00517821760057403,11
-20,-6.750057844428395e-05,0.005968190791949425,-0.013365458358053526,0.013230457201164959,11
-19,0.0057950954886261926,0.010886068159466885,-0.018460575922852683,0.030050766900105066,11
-18,-0.005684907903141904,0.006825126060603291,-0.020892236448476122,0.009522420642192313,11
-17,-0.003744070962304963,0.007673976283228984,-0.020842755668188686,0.013354613743578759,11
-16,0.002298915976835159,0.005710501332268328,-0.010424873905911281,0.015022705859581601,11
-15,-0.001134792195859565,0.005773367914405337,-0.013998657552757062,0.01172907316103793,11
-14,-0.012969012687246689,0.0033773725292163825,-0.02049426763722486,-0.005443757737268519,11
-13,0.0029515329721935698,0.00621824538371831,-0.01090358115845349,0.01680664710284063,11
-12,-0.007819326797650484,0.005198049038411275,-0.019401301814664536,0.0037626482193635694,11
-11,0.0001420360040525046,0.003128728243943762,-0.00682920495358538,0.00711327696169039,11
-10,-0.0007588957091137716,0.006310221430369722,-0.014818945242756948,0.013301153824529404,11
-9,0.015793672528248707,0.008010378725486883,-0.0020545635291329065,0.03364190858563032,11
-8,-0.0030988296250936726,0.003106436565732594,-0.010020401628433278,0.003822742378245933,11
-7,-0.006973390268340601,0.005016149848759764,-0.018150068633747303,0.004203288097066101,11
-6,6.530593530722942e-05,0.004807936340643012,-0.010647443823156178,0.010778055693770636,11
-5,0.0023541548003376054,0.005514751092282766,-0.009933476367411365,0.014641785968086577,11
-4,0.00213690287594419,0.005640400337510924,-0.010430692256820391,0.014704498008708771,11
-3,0.008983356782713552,0.009815956635194363,-0.012887957565575463,0.030854671131002567,11
-2,0.0028181927177088626,0.006170527878172589,-0.010930600184911907,0.016566985620329634,11
-1,0.010913106356871306,0.008922888770993299,-0.008968328785730919,0.03079454149947353,11
0,0.021986162309681943,0.01235091448391467,-0.005533390109488331,0.04950571472885222,11
1,0.026593328150038717,0.012519551972686596,-0.0013019720097656867,0.05448862830984312,11
2,0.010794952757637576,0.010762575039351371,-0.013185558834958916,0.03477546435023407,11
3,0.009969800506950448,0.009697210296613811,-0.011636930510816126,0.031576531524717025,11
4,0.013056382291667416,0.00970378666755297,-0.008565001793693771,0.0346777663770286,11
5,0.005657976167936895,0.005702846730033087,-0.0070487581981727035,0.018364710534046494,11
6,0.008921285655034687,0.008478031077559569,-0.009968944777222842,0.027811516087292217,11
7,0.012321688120309805,0.010009321073227578,-0.010320969240238977,0.03496434548085858,10
8,0.025878423649027316,0.009758501659963044,0.0033752784677558226,0.04838156883029881,9
9,0.005252507185434457,0.010095496415268461,-0.018027749295113447,0.02853276366598236,9
10,-0.00040521052415205507,0.009825192499195043,-0.023062145056472777,0.022251724008168668,9
11,0.03673612330164404,0.024103153584769072,-0.018845848536294556,0.09231809513958264,9
12,0.008804167507808491,0.01059090283386427,-0.015618498222628036,0.03322683323824502,9
