rel_month,mean,se,ci_lo,ci_hi,n_countries
-24,-0.1671292667129646,0.10881989309377853,-0.4095950983842054,0.07533656495827615,11
-23,-0.16650417975476406,0.1236383780009932,-0.441987653375342,0.1089792938658139,11
-22,-0.028611682319559927,0.07979467816088176,-0.20640530491156123,0.14918194027244136,11
-21,-0.22927504832759588,0.14076725756639702,-0.5429240439988439,0.08437394734365211,11
-20,-0.1543358318584087,0.101368420269182,-0.380198747424646,0.07152708370782859,11
-19,-0.08348536984565583,0.094740056404247,-0.2945793703593296,0.12760863066801792,11
-18,-0.21442425089960995,0.08374606692174981,-0.40102211630900325,-0.027826385490216654,11
-17,-0.011590665113923159,0.06632554815841908,-0.15937319584498336,0.13619186561713706,11
-16,0.040361693708909824,0.10983453937323757,-0.20436491075861696,0.2850882981764366,11
-15,0.014889038171278755,0.10234489788367987,-0.21314960510591613,0.24292768144847365,11
-14,-0.05629389640345117,0.1256621212635411,-0.33628655101375754,0.2236987582068552,11
-13,-0.14490163220003136,0.09963987354477447,-0.36691310565214263,0.07710984125207992,11
-12,-0.07289727123807149,0.07769173680667954,-0.24600524849532618,0.1002107060191832,11
-11,-0.13007629944850882,0.1353384119601106,-0.4316290733029551,0.1714764744059374,11
-10,0.12831352074862856,0.08430337577681044,-0.0595261061732813,0.3161531476705384,11
-9,-0.15321058814750635,0.15701201777167004,-0.5030551651733237,0.196633988878311,11
-8,0.04530543521846431,0.07961462709108583,-0.13208700858958297,0.22269787902651159,11
-7,0.13965842103523327,0.06845538610231847,-0.012869684367063733,0.2921865264375303,11
-6,0.08874933689452598,0.10504136873927791,-0.14529741785927558,0.32279609164832757,11
-5,0.20161332836243015,0.07554234234414366,0.033294500415395806,0.3699321563094645,11
-4,0.29232299049177946,0.058497378172152406,0.16198270944707288,0.42266327153648603,11
-3,0.19412299452789286,0.09676380150626845,-0.02148019107411181,0.40972618012989753,11
-2,0.2634191381351233,0.08254296861103375,0.07950194281459552,0.44733633345565105,11
-1,0.20398008497578538,0.09462901349584511,-0.006866496519440574,0.4148266664710113,11
0,0.2384260163877098,0.0795921687674409,0.06108361284312627,0.4157684199322933,11
1,0.08404567031925585,0.11169672726035292,-0.16483014732925083,0.33292148796776255,11
2,0.2783123884565932,0.08755897175057571,0.08321884165916682,0.4734059352540195,11
3,0.1389040001821746,0.0917317445258553,-0.06548706375636276,0.343295064120712,11
4,0.21718283831433707,0.061103530518744224,0.08103568797199406,0.3533299886566801,11
5,0.1922130980599315,0.08317239137021412,0.006893461435349524,0.3775327346845135,11
6,0.14466128335547743,0.10542116672619846,-0.090231714048888,0.3795542807598429,11
7,0.3268773538014182,0.10216654841296752,0.09576056451065415,0.5579941430921822,10
8,0.3849925020261677,0.08925037593995118,0.17918076604011388,0.5908042380122215,9
9,0.46226844549589124,0.08445579877851883,0.2675130242706559,0.6570238667211266,9
10,0.29457796262090913,0.09173002699835459,0.08304814104031369,0.5061077842015046,9
11,0.240778655873226,0.1357593077507819,-0.07228286919253202,0.553840180938984,9
12,0.2548850459867725,0.10880321543185834,0.00398438127739742,0.5057857106961475,9
