country,month,awd_median_eur__cyber_broad,awd_median_eur__cyber_strict,awd_median_eur__ict_generic,awd_median_eur__other,awd_total_eur__cyber_broad,awd_total_eur__cyber_strict,awd_total_eur__ict_generic,awd_total_eur__other,awd_total_eur_real__cyber_broad,awd_total_eur_real__cyber_strict,awd_total_eur_real__ict_generic,awd_total_eur_real__other,est_median_eur__cyber_broad,est_median_eur__cyber_strict,est_median_eur__ict_generic,est_median_eur__other,est_total_eur__cyber_broad,est_total_eur__cyber_strict,est_total_eur__ict_generic,est_total_eur__other,est_total_eur_real__cyber_broad,est_total_eur_real__cyber_strict,est_total_eur_real__ict_generic,est_total_eur_real__other,n_awards__cyber_broad,n_awards__cyber_strict,n_awards__ict_generic,n_awards__other,n_tenders__cyber_broad,n_tenders__cyber_strict,n_tenders__ict_generic,n_tenders__other,n_cyber,n_cyber_strict,n_ict72,n_ict_generic,cyber_share,v_cyber_real,v_cyber_nom,v_cyber_awd,v_cyber_awd_real,cyber_strict_est_median_eur,cyber_strict_awd_median_eur,group,treat_month,treated,rel_month,post_eforms
BE,2022-06,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-28.0,0
BE,2022-07,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,27.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-27.0,0
BE,2022-08,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,28.0,0.0,0.0,1.0,30.0,0.0,1.0,1.0,31.0,30.0,0.03225806451612903,,,0.0,0.0,,,early,2024-10,0,-26.0,0
BE,2022-09,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,28.0,0.0,0.0,1.0,40.0,0.0,1.0,1.0,41.0,40.0,0.024390243902439025,,,0.0,0.0,,,early,2024-10,0,-25.0,0
BE,2022-10,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,31.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,,,,,early,2024-10,0,-24.0,0
BE,2022-11,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-23.0,0
BE,2022-12,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,38.0,0.0,0.0,1.0,35.0,0.0,1.0,1.0,36.0,35.0,0.027777777777777776,,,,,,,early,2024-10,0,-22.0,0
BE,2023-01,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,31.0,0.0,0.0,1.0,19.0,0.0,1.0,1.0,20.0,19.0,0.05,,,0.0,0.0,,,early,2024-10,0,-21.0,0
BE,2023-02,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,26.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-20.0,0
BE,2023-03,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,32.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,,,,,early,2024-10,0,-19.0,0
BE,2023-04,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,20.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-18.0,0
BE,2023-05,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,26.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,,,,,early,2024-10,0,-17.0,0
BE,2023-06,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-16.0,0
BE,2023-07,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,34.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-15.0,0
BE,2023-08,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-14.0,0
BE,2023-09,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,14.0,0.0,0.0,1.0,54.0,0.0,1.0,1.0,55.0,54.0,0.01818181818181818,,,0.0,0.0,,,early,2024-10,0,-13.0,0
BE,2023-10,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-12.0,0
BE,2023-11,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,25.0,0.0,0.0,1.0,58.0,0.0,1.0,1.0,59.0,58.0,0.01694915254237288,,,0.0,0.0,,,early,2024-10,0,-11.0,1
BE,2023-12,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,36.0,0.0,0.0,2.0,80.0,0.0,2.0,2.0,82.0,80.0,0.024390243902439025,,,0.0,0.0,,,early,2024-10,0,-10.0,1
BE,2024-01,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,39.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-9.0,1
BE,2024-02,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,97.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-8.0,1
BE,2024-03,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,34.0,0.0,0.0,1.0,80.0,0.0,1.0,1.0,81.0,80.0,0.012345679012345678,,,0.0,0.0,,,early,2024-10,0,-7.0,1
BE,2024-04,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,34.0,0.0,0.0,5.0,68.0,0.0,5.0,5.0,73.0,68.0,0.0684931506849315,,,0.0,0.0,,,early,2024-10,0,-6.0,1
BE,2024-05,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,65.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-5.0,1
BE,2024-06,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,36.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,0,-4.0,1
BE,2024-07,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,56.0,0.0,0.0,2.0,95.0,0.0,2.0,2.0,97.0,95.0,0.020618556701030927,,,,,,,early,2024-10,0,-3.0,1
BE,2024-08,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,31.0,0.0,0.0,2.0,57.0,0.0,2.0,2.0,59.0,57.0,0.03389830508474576,,,0.0,0.0,,,early,2024-10,0,-2.0,1
BE,2024-09,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,42.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,,,,,early,2024-10,0,-1.0,1
BE,2024-10,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,32.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,0.0,1
BE,2024-11,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,31.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,1.0,1
BE,2024-12,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,48.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,2.0,1
BE,2025-01,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,78.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,,,,,early,2024-10,1,3.0,1
BE,2025-02,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,2.0,38.0,0.0,0.0,1.0,64.0,0.0,1.0,1.0,65.0,64.0,0.015384615384615385,,,,,,,early,2024-10,1,4.0,1
BE,2025-03,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,32.0,0.0,0.0,3.0,74.0,0.0,3.0,3.0,77.0,74.0,0.03896103896103896,,,0.0,0.0,,,early,2024-10,1,5.0,1
BE,2025-04,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,56.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,6.0,1
