rel_month,att,ci_lo,ci_hi
-24,-0.08319818775430106,-0.38514377153270773,0.21874739602410564
-23,-0.12132411157380196,-0.3346467478622897,0.09199852471468578
-22,-0.10095985239599066,-0.3018168704975004,0.09989716570551908
-21,-0.2236314438890502,-0.5180313728265207,0.07076848504842032
-20,-0.14090984341494894,-0.44439065570858416,0.16257096887868627
-19,-0.19314488979630726,-0.49859489920739486,0.11230511961478032
-18,-0.22663560539455668,-0.5403678849892468,0.0870966742001335
-17,-0.015369729489464544,-0.2080803575172676,0.1773408985383385
-16,-0.04388710439768427,-0.30222535568565934,0.21445114689029077
-15,-0.03160622846838093,-0.334225113747903,0.2710126568111412
-14,-0.10831075132398547,-0.37969288228338316,0.16307137963541218
-13,-0.20145714174572604,-0.5247672832557779,0.12185299976432584
-12,-0.14119419545491396,-0.43327108868290604,0.1508826977730781
-11,-0.25745075329494926,-0.6717381368750645,0.15683663028516592
-10,-0.04763705406914251,-0.29781543087099926,0.20254132273271422
-9,-0.31957207312013997,-0.6775450872006423,0.03840094096036234
-8,-0.10679641853442151,-0.36203240860247277,0.14843957153362974
-7,-0.017787300191109363,-0.24176778335677143,0.20619318297455272
-6,-0.07414730651509696,-0.36404168213125754,0.21574706910106364
-5,0.02899149178665747,-0.1509328494316116,0.20891583300492653
-4,0.0906335478030047,-0.11561345024249087,0.29688054584850027
-3,-0.03930296604145925,-0.239055431576687,0.1604494994937685
-2,0.06466176521826017,-0.09495301143400298,0.22427654187052332
-1,0.0,,
0,0.022729859484190647,-0.16530185035676803,0.21076156932514933
1,-0.14854643527812653,-0.38964790111700986,0.09255503056075684
2,0.005431814605773695,-0.2373315409574213,0.24819517016896867
3,-0.11822661119823201,-0.3743965726733332,0.13794335027686916
4,-0.012964023974247257,-0.20417726443436868,0.17824921648587416
5,-0.08753695143073731,-0.2634927023747508,0.08841879951327619
6,-0.14725234852806104,-0.3328511153471487,0.038346418291026585
7,-0.005935038254085985,-0.12959988145536358,0.1177298049471916
8,0.03266379531859554,-0.14391282062199925,0.20924041125919032
9,0.11140845791933682,-0.07534480770416849,0.2981617235428421
10,-0.0029166394840650332,-0.21645084389272487,0.2106175649245948
11,-0.12069635962744824,-0.40918551886945714,0.16779279961456067
12,-0.07602689689623099,-0.3005255118977903,0.1484717181053283
