rel_month,att,ci_lo,ci_hi
-24,0.008892552647334726,-0.010768273415836995,0.028553378710506446
-23,0.00894718317549332,-0.015645929918353986,0.03354029626934063
-22,0.0017604940531603793,-0.02039171007008237,0.02391269817640313
-21,-0.0033763065357727655,-0.027907231070824295,0.021154617999278764
-20,-0.0018109857531786195,-0.021699735488423237,0.018077763982065995
-19,0.008048177419961224,-0.011449306969014408,0.027545661808936854
-18,0.001991343964430645,-0.02092354491318921,0.024906232842050503
-17,-0.0011362750301924752,-0.029208268426587688,0.026935718366202736
-16,-0.0006473214280007175,-0.020263711844897232,0.018969068988895797
-15,-0.002717531217508299,-0.025821837677994508,0.02038677524297791
-14,-0.008473070467447838,-0.025792247288904772,0.008846106354009097
-13,0.0032383324264507853,-0.019037998494070226,0.025514663346971795
-12,-0.009228843469522945,-0.032174800466204245,0.013717113527158355
-11,0.002963148336197586,-0.0164946602388842,0.02242095691127937
-10,-0.007020449687492061,-0.031098863028105824,0.0170579636531217
-9,0.008329131651951366,-0.01515190841945878,0.031810171723361515
-8,-0.007641183216623081,-0.02935136921556561,0.01406900278231945
-7,-0.016666594189531737,-0.038954089088178864,0.005620900709115393
-6,-0.013425807484785706,-0.02911838375067859,0.002266768781107178
-5,-0.006049420844718735,-0.023177148314124343,0.011078306624686871
-4,-0.00641885158530861,-0.026978375638954374,0.014140672468337154
-3,0.002338672518113718,-0.024778753364282827,0.029456098400510264
-2,-0.0020240670108972406,-0.027574198700884844,0.023526064679090367
-1,0.0,,
0,0.01264487855563363,-0.010079233856683427,0.03536899096795069
1,0.019068561122041326,-0.00836371942684849,0.046500841670931145
2,-0.005991644620862845,-0.03330820255112854,0.021324913309402848
3,-0.0022923170507436353,-0.03560876784814095,0.031024133746653686
4,0.0030099996364899586,-0.02153124602290705,0.027551245295886966
5,-0.00821760382222104,-0.02478731623727564,0.008352108592833562
6,-0.00414644251606089,-0.03214798111012311,0.023855096078001327
7,0.006777072448157826,-0.015145255374518007,0.028699400270833657
8,0.011218479523121279,-0.0160856070571876,0.03852256610343016
9,-0.0033184939348669482,-0.035478364934482365,0.028841377064748472
10,-0.01183917444315408,-0.047752355211481204,0.02407400632517304
11,0.02647066354536432,-0.03316393552814282,0.08610526261887147
12,0.0006386042910408742,-0.02884185125315375,0.030119059835235495
