rel_month,mean,se,ci_lo,ci_hi,n_countries
-24,-0.036058869876725366,0.08524044133774351,-0.22598640898180855,0.1538686692283578,11
-23,0.02695451017417875,0.11620105548521943,-0.23195757619425142,0.28586659654260893,11
-22,-0.03605886987672537,0.05602195346747739,-0.16088356096177892,0.08876582120832816,11
-21,0.0008015944967441242,0.07671101490530224,-0.17012119818905796,0.17172438718254623,11
-20,-0.09907224992762949,0.049098379429210054,-0.20847025670341607,0.010325756848157092,11
-19,0.047240287566379636,0.1354417156313994,-0.25454266121161795,0.34902323634437726,11
-18,-0.1620856299785336,0.056704304061460646,-0.28843069293271717,-0.03574056702435005,11
-17,-0.03605886987672537,0.08307799518196535,-0.22116817868679084,0.14905043893334008,11
-16,0.12682835459855235,0.11864059008287378,-0.13751935358767614,0.39117606278478084,11
-15,0.0008015944967441293,0.11216633055129371,-0.24912056448932837,0.2507237534828166,11
-14,-0.1620856299785336,0.056704304061460646,-0.28843069293271717,-0.03574056702435005,11
-13,0.12682835459855235,0.15165016047218127,-0.21106925985946784,0.46472596905657254,11
-12,-0.03605886987672537,0.09498544603057447,-0.24769963255069377,0.175581892797243,11
-11,0.06381497454764826,0.10323697830741864,-0.16621134778077537,0.29384129687607186,11
-10,0.22670219902292593,0.13026350490200453,-0.0635429772451348,0.5169473752909867,11
-9,0.14084205276466671,0.20488164455108998,-0.31566269951845877,0.5973468050477921,11
-8,-0.09907224992762949,0.08607484571619392,-0.2908589578466055,0.09271445799134649,11
-7,-0.03605886987672538,0.09020358902396351,-0.2370449911696211,0.16492725141617035,11
-6,0.0008015944967441141,0.15302850640657473,-0.34016716608917547,0.3417703550826637,11
-5,0.0008015944967441293,0.07808645336477923,-0.17318586605913477,0.17478905505262304,11
-4,-0.09907224992762949,0.08607484571619392,-0.2908589578466055,0.09271445799134649,11
-3,0.0008015944967441242,0.08512106778462243,-0.18885996375673028,0.19046315275021855,11
-2,0.13753590329458723,0.1102775969040109,-0.1081778948709207,0.3832497014600952,11
-1,-0.09907224992762949,0.07498580668862014,-0.2661510391580762,0.06800653930281723,11
0,-0.03605886987672536,0.09902282609624409,-0.2566954759352471,0.1845777361817964,11
1,0.02695451017417876,0.1367026518323336,-0.27763797954299635,0.3315469998913539,11
2,-0.03605886987672537,0.05789104992656931,-0.16504816740039158,0.09293042764694082,11
3,0.026954510174178745,0.07717901399601237,-0.14501104946832885,0.19892006981668633,11
4,0.08996789022508286,0.09115017567249532,-0.11312735755617806,0.29306313800634376,11
5,0.21599465032689114,0.13649053890631013,-0.0881252223388026,0.5201145229925849,11
6,-0.09907224992762949,0.07498580668862014,-0.2661510391580762,0.06800653930281723,11
7,-0.1620856299785336,0.056704304061460646,-0.28843069293271717,-0.03574056702435005,11
8,0.3067528481889878,0.1586407545493554,-0.0521174710265484,0.665623167404524,10
9,0.015866532106662355,0.09787634819292847,-0.20983673156491348,0.2415697957782382,9
10,-0.02918514657202259,0.05855368238828992,-0.16421018029085047,0.10583988714680528,9
11,0.16989923889776126,0.16227232687193868,-0.2043014178981314,0.5440998956936539,9
12,-0.10620149996757206,0.048105553133080264,-0.21713310441873884,0.0047301044835947464,9
