country,month,category,n_tenders,est_total_eur,est_median_eur,est_total_eur_real,est_median_eur_real,n_awards,awd_total_eur,awd_median_eur,awd_total_eur_real,awd_median_eur_real,value_missing_share,group,treat_date,treat_month,treat_month_alt,treated,rel_month,post_eforms,month_2023_10
BE,2021-10,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-36.0,0,0
BE,2021-11,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-35.0,0,0
BE,2021-11,cyber_strict,0.0,0.0,,0.0,,1.0,468539.31,468539.31,451422.842321906,451422.842321906,0.0,early,2024-10-18,2024-10,2024-11,0,-35.0,0,0
BE,2021-11,ict_generic,32.0,,,,,20.0,54712326.68,399067.72,52713600.52997528,384489.15725197643,0.6923076923076923,early,2024-10-18,2024-10,2024-11,0,-35.0,0,0
BE,2021-11,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-35.0,0,0
BE,2021-12,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-34.0,0,0
BE,2021-12,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-34.0,0,0
BE,2021-12,ict_generic,43.0,,,,,33.0,258691835.6,1000000.0,249284420.23224646,963634.6645964518,0.6447368421052632,early,2024-10-18,2024-10,2024-11,0,-34.0,0,0
BE,2021-12,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-34.0,0,0
BE,2022-01,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-33.0,0,0
BE,2022-01,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-33.0,0,0
BE,2022-01,ict_generic,25.0,,,,,40.0,375682833.66999996,1157480.0,358740872.67643374,1105281.7645382795,0.49230769230769234,early,2024-10-18,2024-10,2024-11,0,-33.0,0,0
BE,2022-01,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-33.0,0,0
BE,2022-02,cyber_broad,1.0,,,,,0.0,0.0,,0.0,,1.0,early,2024-10-18,2024-10,2024-11,0,-32.0,0,0
BE,2022-02,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-32.0,0,0
BE,2022-02,ict_generic,31.0,,,,,24.0,440083300.34,1449653.2,411444800.07866335,1355316.756160906,0.6727272727272727,early,2024-10-18,2024-10,2024-11,0,-32.0,0,0
BE,2022-02,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-32.0,0,0
BE,2022-03,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-31.0,0,0
BE,2022-03,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-31.0,0,0
BE,2022-03,ict_generic,38.0,,,,,20.0,33205332.38,890169.8200000001,30840588.9235233,826775.6870062908,0.7241379310344828,early,2024-10-18,2024-10,2024-11,0,-31.0,0,0
BE,2022-03,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-31.0,0,0
BE,2022-04,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-30.0,0,0
BE,2022-04,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-30.0,0,0
BE,2022-04,ict_generic,43.0,,,,,29.0,1293365287.95,4000000.0,1197970527.6422155,3704971.9481524467,0.7222222222222222,early,2024-10-18,2024-10,2024-11,0,-30.0,0,0
BE,2022-04,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-30.0,0,0
BE,2022-05,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-29.0,0,0
