rel_month,att,se,ci_lo,ci_hi
-18,0.15638409820609622,0.10204339389063544,-0.04361727867978382,0.35638547509197627
-17,0.23091781698841707,0.1447811520002333,-0.0528480265722594,0.5146836605490935
-16,0.4324889560812228,0.23941824940495346,-0.036762189994114236,0.9017401021565599
-15,0.3133324673825112,0.14766436475724526,0.02391563065832486,0.6027493041066976
-14,0.2514030299726519,0.13340446662769104,-0.01006491999439807,0.5128709799397019
-13,0.4640221305176134,0.21385554490768383,0.04487296460436491,0.8831712964308618
-12,0.19643186071217658,0.12535727245007505,-0.04926387849014566,0.4421275999144988
-11,0.34837164511453667,0.20367693390867814,-0.05082780982801738,0.7475711000570907
-10,0.39615544057723245,0.22913279356741895,-0.05293658249195965,0.8452474636464246
-9,0.2953500902308257,0.2849727843172522,-0.2631863036050893,0.8538864840667407
-8,0.13127553583513546,0.15101940458493818,-0.1647170581180265,0.4272681297882974
-7,0.06320404681610901,0.10376334143536993,-0.14016836531274873,0.26657645894496673
-6,0.10630323086538158,0.20899643734224757,-0.3033222592226057,0.5159287209533688
-5,0.15824880150398496,0.17966716121360174,-0.19389236367922613,0.510389966687196
-4,0.0,,,
-3,0.17534385542783593,0.20163309697813936,-0.2198497527405892,0.570537463596261
-2,0.44535154293573764,0.18965962200906653,0.07362551447648708,0.8170775713949883
-1,0.09500788943424157,0.14603336865925348,-0.19121225367895553,0.38122803254743864
0,0.14444164760257638,0.18153243663161836,-0.2113553902211952,0.500238685426348
1,0.29981643033770566,0.17122935104155138,-0.03578693079990103,0.6354197914753124
2,0.037595700982919075,0.21498710411357888,-0.3837712802202584,0.4589626821860966
3,0.07551116933137786,0.14098373084164817,-0.20081186552434138,0.3518342041870971
4,0.17152253602580753,0.15414214034744045,-0.1305905075550941,0.47363557960670916
5,0.17722673826587554,0.25344970566233715,-0.3195255567245827,0.6739790332563338
6,-0.08660182022293864,0.1957093305552317,-0.4701850595496371,0.29698141910375986
7,0.007126140295276022,0.19311543376370902,-0.371373154740424,0.38562543533097604
8,0.3138539477506023,0.292966935972726,-0.2603506954169926,0.8880585909181973
9,0.13279227194473123,0.28848087466888706,-0.43261985263490066,0.6982043965243631
10,0.0411659181801417,0.2922667333979353,-0.5316663531589813,0.6139981895192647
11,0.1734880443406147,0.27569860003463426,-0.3668712823153817,0.7138473709966111
12,0.07346945453257858,0.31299090569688026,-0.5399814481218792,0.6869203571870364
13,0.2242510030328515,0.26612425832645853,-0.29734295869944083,0.7458449647651438
14,-0.05592954083366212,0.14459655652043657,-0.3393335839022281,0.22747450223490387
15,0.20153739738522453,0.2032756701264113,-0.19687559499578616,0.5999503897662353
16,-0.052694428057575425,0.16178568588304304,-0.36978854560245,0.2643996894872992
17,0.0058223159043334985,0.13815845853295639,-0.2649632869798315,0.27660791878849855
18,0.0056714966576311004,0.15610408010510957,-0.3002868781881392,0.31162987150340143
