Coefficient,ev_m18,ev_m17,ev_m16,ev_m15,ev_m14,ev_m13,ev_m12,ev_m11,ev_m10,ev_m9,ev_m8,ev_m7,ev_m6,ev_m5,ev_m4,ev_m3,ev_m2,ev_p0,ev_p1,ev_p2,ev_p3,ev_p4,ev_p5,ev_p6,ev_p7,ev_p8,ev_p9,ev_p10,ev_p11,ev_p12,ev_p13,ev_p14,ev_p15,ev_p16,ev_p17,ev_p18
ev_m18,0.04864872032963358,0.046925014171191735,0.03858763643150024,0.05332354755225609,0.035287675182684025,0.040604941577148265,0.03797742498129578,0.038780520484866084,0.027191996950906995,0.023095157004566953,0.03184996593215787,0.028805882395330124,0.02645080768289427,0.02775025133364163,0.02245575298556974,0.024706996246802466,0.029260489387866035,0.026247788276033277,0.042399866051265535,0.0200435160166205,0.030175032374127185,0.02522605834897844,0.024040023379483265,0.029485817206605758,0.025724982036267687,0.032696084109975675,0.016795573719389997,0.02259183019896134,0.020238217409998344,0.01251594979840748,0.04209961869732301,0.03353175350710592,0.02020101822786981,0.0403474514708272,0.028840295693207826,0.03206451163043244
ev_m17,0.04692501417119155,0.08450446527722688,0.048785915919610116,0.06203479777203861,0.05157429252111368,0.05452250479826452,0.061265325024493666,0.04296335218898983,0.03439972644953994,0.04488357135394086,0.039891595037111496,0.024565862215331757,0.03632551060561721,0.043136529103486684,0.015168526042512504,0.025361559597392027,0.043151548575373316,0.03808633284343287,0.052205944489705794,0.032690723714644966,0.03595234116317358,0.026552087385003705,0.03215711360657445,0.03712144261992097,0.03019155969494908,0.023274254599992106,0.013676941730945984,0.023465094020284846,0.029023115083784037,0.007694530572476199,0.030553779384289746,0.03443122552038739,0.012407638942469061,0.02452998085663523,0.02645501280868048,0.022417949246738456
ev_m16,0.03858763643150004,0.048785915919610116,0.06557514626044689,0.05135563254217453,0.03602484845068894,0.05618009164623475,0.03212714112033408,0.02767823414099828,0.01638469760153828,0.027296528336493635,0.0191661522837619,0.006252038644852226,0.015857274868534915,0.026476992040217535,0.001826874855066773,0.01795722090501566,0.044983761209580635,0.0232709804910622,0.05098589186102592,0.03752021227606455,0.0217450225678897,0.01815233571978938,0.02615913117426354,0.026427951439474694,0.038208170958087144,0.026221224335212043,0.025491809406785998,0.027772437314522495,-0.0009896202620971585,0.016889798013139685,0.05134523835199964,0.02754157348423802,0.015300663334000212,0.03200461935171996,0.028073570979670708,0.02821630817815089
ev_m15,0.053323547552255886,0.06203479777203861,0.05135563254217453,0.0881667792059161,0.04897777016864481,0.05603877268281846,0.046843560067011625,0.053410487154453234,0.03452850249391378,0.03303703365513944,0.04436085705678382,0.029855811501647466,0.04400585673838569,0.05078754395793761,0.03004858083857624,0.023560114922327388,0.04023219526751192,0.03535883971485736,0.05858502992187845,0.032909903330147185,0.038195430596230984,0.032955005538214115,0.030333327140343733,0.03137140770923117,0.03784375379866816,0.04338639681068375,0.020914618725403233,0.02224497710742332,0.017218691358198424,0.02028678012245312,0.05880490546889693,0.03680460768105947,0.021219837182084623,0.035036564455093684,0.04943135367270992,0.04009325955001883
ev_m14,0.035287675182683866,0.05157429252111376,0.03602484845068899,0.04897777016864486,0.04078232568199415,0.04539497500453808,0.04347495398327167,0.03931342630303749,0.03325048888781327,0.03453144183637419,0.029817998278571886,0.0225585006781046,0.03084054289515211,0.028543378875458048,0.016486242298196074,0.022727385906802452,0.03529035791491216,0.026653899288575627,0.04252329124088629,0.02144617403596445,0.02825722998735465,0.02068393324821048,0.027874322739707906,0.030312012148779585,0.02606257275623598,0.027821827326095918,0.02070629310528252,0.02544674828520758,0.020237160538933378,0.01578022083660507,0.038750284723183176,0.03371692996535206,0.017416107982598204,0.03466181754395601,0.02359799477724487,0.02973369267204971
ev_m13,0.040604941577148244,0.05452250479826467,0.05618009164623482,0.05603877268281854,0.04539497500453815,0.06721425870486564,0.0426189257549701,0.047727307048992834,0.03791872098852364,0.03710997895268782,0.02595383601165515,0.01901289070331058,0.03180850341674633,0.028863356835588362,0.011005271221813278,0.026214407447144327,0.053538611561776424,0.028008577230493107,0.0567386720778221,0.03365878863989391,0.030803363176736757,0.025972428080989377,0.03188031338452787,0.031482023888529956,0.028876896076224914,0.03389601079567565,0.030544842580098003,0.028494373621381634,0.0027477054864284756,0.028397161819474746,0.06191867213997964,0.02912667776341523,0.0195104625210849,0.04371976009308611,0.034614995738411765,0.03313333386859517
ev_m12,0.03797742498129553,0.061265325024493514,0.03212714112033391,0.04684356006701146,0.04347495398327154,0.04261892575496985,0.05854490138067504,0.03811099232217361,0.035567826552680225,0.037418037522834596,0.038897087999921594,0.03142239474692934,0.03371236751352428,0.027166737602373574,0.019980348786022933,0.024976872159398558,0.03515087730017695,0.0250002107509877,0.03706742874745348,0.017438764545484486,0.03999003391495619,0.02831974644074187,0.032023761936722524,0.03989020650376186,0.02574918466903447,0.030169903131557128,0.011922674367856096,0.02680198372756605,0.03724727860531413,0.006989048165683972,0.03463541636800031,0.03964964950690998,0.02208158306266425,0.03672847162676539,0.025637247543907137,0.031769192429367744
ev_m11,0.03878052048486596,0.042963352188989806,0.027678234140998296,0.05341048715445321,0.03931342630303742,0.047727307048992765,0.03811099232217367,0.05215311292598954,0.04197408636074543,0.031128550051528387,0.031193077340922224,0.03037835748419528,0.03863749316111579,0.028532006580768016,0.024678823218232896,0.02681862533777123,0.0365576602505006,0.02888566697549631,0.045498193911882936,0.01692366998682587,0.029698039303931813,0.026991279395847716,0.026940047378108206,0.027853402886617765,0.01754121637529312,0.03618460684447206,0.023927084264202897,0.021818792589267878,0.013147411149539549,0.02528648645338747,0.04904347027754885,0.030136116327110767,0.02191342361536322,0.04287076634018153,0.03107156897040601,0.03122290137371553
ev_m10,0.027191996950906745,0.03439972644953991,0.0163846976015382,0.03452850249391369,0.03325048888781317,0.03791872098852347,0.035567826552680294,0.041974086360745344,0.044730698716644895,0.031059051317607462,0.025155323028301816,0.02961007703283426,0.03565389211569098,0.01813663080200322,0.020753051327883108,0.029388908014762145,0.03447855092418876,0.020023258625385305,0.029974215145412354,0.012078919889032579,0.027172587569576405,0.024414444517074224,0.02164450247032081,0.028699725356786943,0.00854290055808131,0.02290755532661182,0.020334192150522713,0.018680951731653715,0.01707760516348497,0.021436576646457643,0.03492840796414998,0.020626426731121417,0.018848751373164403,0.03938908130446335,0.006583958861399628,0.01709731223332994
ev_m9,0.02309515700456679,0.044883571353940784,0.027296528336493635,0.033037033655139394,0.034531441836374105,0.03710997895268767,0.03741803752283473,0.031128550051528356,0.031059051317607438,0.04754110089925276,0.02743049424303756,0.014751008767611045,0.030776466889076464,0.01505768467427588,0.01576228280593822,0.022151675203780228,0.03520552064400103,0.021598645887170868,0.03379695894430401,0.018382001614452984,0.016498053791942628,0.011297906371868014,0.02164921556610103,0.02815427100006171,0.024170612954358812,0.022370944965480227,0.014399452786623062,0.01827954347315843,0.009645588210275509,0.00462290646888093,0.014594969172150545,0.017552581604568285,0.002808336876817784,0.01907079022280898,0.005015504185557781,0.012671089303128717
ev_m8,0.031849965932157824,0.03989159503711157,0.019166152283761975,0.0443608570567839,0.029817998278571914,0.025953836011655084,0.038897087999921795,0.031193077340922283,0.02515532302830195,0.027430494243037676,0.03738019154302135,0.027975324082049054,0.029840955050577475,0.022549637134805327,0.025994950876674066,0.02032469240253093,0.023073890245513227,0.017505298210631185,0.027235362179316186,0.014848895824277635,0.034214271959396796,0.022616183350484,0.01822557766388425,0.029328621239077503,0.023082481696368087,0.02691797286274418,0.006537254842179039,0.013343355672411938,0.029610117519205947,0.003065413032304355,0.024367030516252577,0.02697351994052712,0.011736798521704703,0.021223785586502873,0.024142441899919254,0.02677297867097772
ev_m7,0.02880588239533003,0.024565862215331875,0.006252038644852296,0.02985581150164754,0.022558500678104613,0.01901289070331052,0.03142239474692949,0.030378357484195363,0.029610077032834393,0.014751008767611118,0.027975324082049068,0.03948121918914558,0.028508735854467813,0.01271182681383957,0.027638905169922488,0.027780671176605345,0.016296406967797404,0.01835435394791824,0.021892352675420387,0.0023409602165268733,0.03385721751101241,0.02733243676425562,0.018629988856296766,0.028906763180731064,0.007557644715468961,0.034056198781707354,0.010098718402971966,0.01922574663735955,0.03154166200199624,0.008388845707011275,0.03224866549878099,0.03029049698526899,0.024057165458890927,0.0444784184202875,0.022049550198487516,0.025887561872898222
ev_m6,0.02645080768289405,0.03632551060561711,0.015857274868534832,0.044005856738385564,0.03084054289515199,0.03180850341674608,0.033712367513524306,0.03863749316111567,0.035653892115690956,0.030776466889076454,0.029840955050577298,0.028508735854467632,0.03978414669986348,0.02265777810142626,0.024483808487070963,0.020360160729810232,0.02624527451755121,0.022374952951165997,0.028953388416982122,0.008090328269537303,0.02262892397045156,0.022086114845372536,0.020590999514581904,0.022596939059682988,0.010829164031688009,0.029778689335354644,0.006578317359117417,0.009745985451135319,0.008273498325132246,0.006154178554032822,0.024500363975830292,0.015302089296822011,0.011669204828760297,0.023486109075695153,0.018810634955732805,0.011837034720186709
