rel_month,att,se,ci_lo,ci_hi
-18,-0.5945702566718235,0.376310233062544,-1.3321247604882838,0.14298424714463664
-17,-0.40198593639684715,0.29257624620834033,-0.9754248416971179,0.17145296890342349
-16,-0.029032792853073253,0.35933018602894756,-0.7333070160278882,0.6752414303217417
-15,-0.14484427375845652,0.3892949881335499,-0.9078484298621621,0.618159882345249
-14,-0.16678631109985642,0.37497598969706813,-0.9017257459733723,0.5681531237736595
-13,-0.06630919955888373,0.2934556252922167,-0.6414716561923098,0.5088532570745424
-12,0.023659717680166642,0.29216304656907865,-0.5489693312087262,0.5962887665690594
-11,0.02006838005300198,0.32209742948161746,-0.6112309812438981,0.6513677413499019
-10,-0.21272162020768942,0.3854274024276012,-0.9681454476206135,0.5427022072052348
-9,-0.6011312877480579,0.3398044456486226,-1.2671357630059565,0.06487318750984072
-8,-0.46892316646371845,0.28031805499920304,-1.0183364584784744,0.08049012555103752
-7,-0.13771154157729293,0.3189215377897661,-0.7627862695393643,0.4873631863847785
-6,0.07985056070743597,0.2943260484828211,-0.4970178940308833,0.6567190154457553
-5,-0.3219337387143102,0.23970934770860733,-0.7917554269807695,0.14788794955214912
-4,-0.03244446903861764,0.2610862251511472,-0.5441640671943818,0.47927512911714654
-3,-0.47398139982880294,0.16890925091554357,-0.8050374482789076,-0.14292535137869838
-2,0.2325053265255091,0.1957832707338509,-0.15122283288829347,0.6162334859393117
-1,0.0,,,
0,0.007291409596529623,0.11563971943227179,-0.2193582756730397,0.23394109486609896
1,0.3535659465163571,0.28145234389489826,-0.1980705108820252,0.9052024039147394
2,-0.20165490090237137,0.19244140078768504,-0.5788331155806721,0.17552331377592928
3,-0.061269766856400176,0.2165279755557579,-0.48565680059105487,0.3631172668782545
4,-0.04952715059113705,0.09529893547065796,-0.23630963187863332,0.13725533069635923
5,-0.30034538210262884,0.196119034573988,-0.684731626550411,0.08404086234515329
6,-0.13440676096216575,0.15955395839322034,-0.44712677300367987,0.17831325107934837
7,-7.007620007853932e-05,0.1349230426965048,-0.26451438056978793,0.26437422816963085
8,0.11898657679269026,0.20191837976746488,-0.276766175368222,0.5147393289536025
9,0.19926795598445524,0.3006152754805053,-0.389927157159922,0.7884630691288325
10,0.3132061755783448,0.24522893117950897,-0.16743369750074433,0.7938460486574339
11,0.2961956430277829,0.1992300894842509,-0.094288156998041,0.6866794430536067
12,0.25366048490623755,0.2465038930046655,-0.22947826743182176,0.7367992372442969
13,0.006208901689237975,0.24871891570250731,-0.48127121536153006,0.49368901874000604
14,-0.13232001002298005,0.20108689158543977,-0.5264430752935525,0.26180305524759234
15,0.01823383866785927,0.3236785614242402,-0.6161644842913871,0.6526321616271056
16,-0.24840928302354803,0.36260467359063614,-0.959101383887097,0.4622828178400009
17,0.09740260019956083,0.22327326699934547,-0.3402049618297517,0.5350101622288733
18,0.09566207898245321,0.36337422569857325,-0.6165383162968794,0.8078624742617857
