rel_month,att,se,ci_lo,ci_hi
-18,0.08899436921184524,0.16806159361143644,-0.24040030145097702,0.41838903987466747
-17,0.03869348592218046,0.16482192600531317,-0.2843515529107591,0.36173852475512003
-16,0.2901941194107961,0.20885007815238688,-0.1191445119362578,0.6995327507578499
-15,0.008195349535041911,0.16061502835811792,-0.3066043214227486,0.32299502049283246
-14,-0.18077083433250074,0.2243301241221579,-0.6204497982593302,0.25890812959432874
-13,0.18554572501032374,0.1894613160019686,-0.185791630817097,0.5568830808377445
-12,-0.13961262758291298,0.21928495016857563,-0.5694032322649817,0.2901779770991557
-11,0.035588734753689885,0.21870118335704314,-0.3930577080024053,0.4642351775097851
-10,0.09430895242767375,0.20386200457100645,-0.3052532343476388,0.49387113920298625
-9,0.026089580057496356,0.149015795686057,-0.2659760126147545,0.3181551727297472
-8,-0.12680659310081294,0.15432591591412,-0.4292798301736449,0.17566664397201903
-7,-0.3049511013410876,0.11720692479776973,-0.5346724526834108,-0.07522974999876439
-6,-0.18585706701083923,0.1637567708671446,-0.5068144401350206,0.13510030611334214
-5,-0.352600228047129,0.17260030963551565,-0.6908906186532013,-0.014309837441056628
-4,-0.17752157377651984,0.12714384283017177,-0.4267189265796777,0.07167577902663802
-3,-0.1463842716817305,0.22332236888148807,-0.5840880716316156,0.29131952826815466
-2,0.16674808436011843,0.17301425869779016,-0.17235363149944607,0.505849800219683
-1,0.0,,,
0,0.0073420563707935135,0.16963022445285583,-0.32512707424624954,0.3398111869878365
1,-0.09588039885418467,0.2507178118722646,-0.5872782804065121,0.3955174826981427
2,-0.10070421914763719,0.23002118374064487,-0.5515374549605714,0.35012901666529705
3,-0.11665077357528406,0.2887199348805975,-0.6825314475600048,0.44922990040943667
4,-0.18271872139451978,0.2076412754960547,-0.5896881430707462,0.22425070028170668
5,-0.1442760455569863,0.23959139703729285,-0.6138665547557169,0.32531446364174427
6,-0.03647331806993176,0.22184240860595977,-0.47127644918123146,0.39832981304136794
7,-0.044383277733824944,0.17234010029503888,-0.3821636674041219,0.293397111936472
8,-0.07072228804091356,0.2623314751739885,-0.5848825313931943,0.44343795531136726
9,0.03437124846087011,0.32341274322875285,-0.5995060804087857,0.668248577330526
10,-0.2626057720350888,0.2805417473637541,-0.8124574930279815,0.2872459489578039
11,0.11941132686417963,0.3436332695550307,-0.5540975053534247,0.792920159081784
12,-0.09386459401397503,0.2596562154885353,-0.6027814247334756,0.41505223670552555
13,-0.3589374148485321,0.2840787596643487,-0.9157215525634654,0.1978467228664012
14,-0.19109107529539834,0.31575796806326556,-0.8099653205309475,0.42778316994015075
15,-0.33984249852157783,0.25472572955436823,-0.8390957543838296,0.15941075734067395
16,-0.48461761370128864,0.32530830167392755,-1.1222101688540778,0.15297494145150037
17,-0.22031400630498182,0.31169612880183334,-0.8312271928771331,0.3905991802671694
18,-0.5246010115733576,0.39129677195104795,-1.2915285918641946,0.24232656871747926
