cohort_time,c0,c1,c2,c3,c4
37,0.7022687949622224,0.058026223235850195,0.5885394872610747,0.81599810266337,*
44,0.2068333719118835,0.06934324679656273,0.07092310561954807,0.34274363820421894,*
45,-0.13544780187177693,0.19141322018552392,-0.5106108196002391,0.23971521585668523,
48,-0.009976781505946525,0.11608927530247647,-0.2375075800901556,0.21755401707826255,
51,0.02753741395003345,0.027556250490800793,-0.026471844560900293,0.0815466724609672,
54,0.06860350079330568,0.04330485428761335,-0.016272453966171413,0.15347945555278278,
59,0.06186755203114133,0.06356101827651128,-0.06270975461151292,0.18644485867379557,
60,-0.32478760543571256,0.13701786463953838,-0.593337685367792,-0.056237525503633146,*
