rel_month,att,se,ci_lo,ci_hi
-18,-0.22663560539455668,0.16007043092085896,-0.5403678849892468,0.0870966742001335
-17,-0.015369729489464544,0.09832355571218651,-0.2080803575172676,0.1773408985383385
-16,-0.04388710439768427,0.1318076522455077,-0.30222535568565934,0.21445114689029077
-15,-0.03160622846838093,0.15440022758915023,-0.334225113747903,0.2710126568111412
-14,-0.10831075132398547,0.13846281518437345,-0.37969288228338316,0.16307137963541218
-13,-0.20145714174572604,0.16495718495864264,-0.5247672832557779,0.12185299976432584
-12,-0.14119419545491396,0.1490215613816669,-0.43327108868290604,0.1508826977730781
-11,-0.25745075329494926,0.2113749981366807,-0.6717381368750645,0.15683663028516592
-10,-0.04763705406914251,0.12764437447587398,-0.29781543087099926,0.20254132273271422
-9,-0.31957207312013997,0.1826426489997509,-0.6775450872006423,0.03840094096036234
-8,-0.10679641853442151,0.13022483682420707,-0.36203240860247277,0.14843957153362974
-7,-0.017787300191109363,0.11427785659960671,-0.24176778335677143,0.20619318297455272
-6,-0.07414730651509696,0.14790801152613542,-0.36404168213125754,0.21574706910106364
-5,0.02899149178665747,0.09179982011786406,-0.1509328494316116,0.20891583300492653
-4,0.0906335478030047,0.10522999385312463,-0.11561345024249087,0.29688054584850027
-3,-0.03930296604145925,0.10191639596995135,-0.239055431576687,0.1604494994937685
-2,0.06466176521826017,0.08143760697200772,-0.09495301143400298,0.22427654187052332
-1,0.0,,,
0,0.022729859484190647,0.095936308689409,-0.16530185035676803,0.21076156932514933
1,-0.14854643527812653,0.12301321235525804,-0.38964790111700986,0.09255503056075684
2,0.005431814605773695,0.12386113085652663,-0.2373315409574213,0.24819517016896867
3,-0.11822661119823201,0.1307013616044668,-0.3743965726733332,0.13794335027686916
4,-0.012964023974247257,0.09755956842492366,-0.20417726443436868,0.17824921648587416
5,-0.08753695143073731,0.08977499195491857,-0.2634927023747508,0.08841879951327619
6,-0.14725234852806104,0.09469498841971946,-0.3328511153471487,0.038346418291026585
7,-0.005935038254085985,0.06309546714976913,-0.12959988145536358,0.1177298049471916
8,0.03266379531859554,0.09009176563110782,-0.14391282062199925,0.20924041125919032
9,0.11140845791933682,0.09528402924573678,-0.07534480770416849,0.2981617235428421
10,-0.0029166394840650332,0.10894802460299802,-0.21645084389272487,0.2106175649245948
11,-0.12069635962744824,0.14719105122215234,-0.40918551886945714,0.16779279961456067
12,-0.07602689689623099,0.11454221443474255,-0.3005255118977903,0.1484717181053283
13,-0.04952714644640596,0.13212000220828257,-0.30847759241199224,0.2094232995191803
14,-0.01129476330462574,0.09361087605635772,-0.19476870893632975,0.1721791823270783
15,-0.284569629008129,0.15156520215374375,-0.5816319665389993,0.01249270852274137
16,-0.1724862749427309,0.17830030763321916,-0.5219484563362525,0.17697590645079075
17,-0.13962487813192606,0.14148339859572373,-0.41692724378986945,0.1376774875260173
18,-0.21988170438064886,0.15769035757710143,-0.5289491259410104,0.08918571717971274
