rel_month,att,se,ci_lo,ci_hi
-18,5.2054735712100655,2.9325796346671407,-0.5422768945331597,10.95322403695329
-17,5.609499647628673,3.047200699814574,-0.36290397767314087,11.581903272930486
-16,6.521070681593212,1.8894598653545935,2.817797395264309,10.224343967922115
-15,6.2542307413983735,2.76034450426859,0.8440549281088678,11.66440655468788
-14,4.852385848506591,2.8609482060698626,-0.7549695970248163,10.459741294037999
-13,6.534884998542719,1.8665127151129308,2.876587300235304,10.193182696850133
-12,6.390671473499633,2.1135139193466066,2.2482603107561907,10.533082636243075
-11,4.435518890227695,2.198509475298888,0.12651949897182302,8.744518281483568
-10,3.5682399895222385,2.863031849364563,-2.04319932182341,9.179679300867887
-9,2.2540799552034594,2.7847453855539475,-3.203920706596384,7.712080617003303
-8,2.296832649152315,2.7393542821731587,-3.0722030848026485,7.665868383107279
-7,-0.21807016601610263,2.3537187337605694,-4.831274113924039,4.395133781891834
-6,0.10949329371047112,1.9939833084042495,-3.798642176535881,4.017628763956823
-5,1.7879701679086635,2.559150879414037,-3.2278733867468556,6.803813722564183
-4,-0.922133722089074,1.7635378692064498,-4.378604431106224,2.5343369869280763
-3,4.593698966231718,2.34601129659153,-0.00439868241179564,9.19179661487523
-2,4.7935758299287,2.343953836330479,0.19951072929646863,9.38764093056093
-1,0.0,,,
0,8.135971829207069,2.7281982009226415,2.7888016127117217,13.483142045702415
1,9.647813850671753,3.0671515065164754,3.636307362771692,15.659320338571813
2,5.301965783704276,2.209399455024397,0.9716224243940346,9.632309143014517
3,5.333556110145192,2.572414348367214,0.29171663403138126,10.375395586259003
4,5.335532719971855,2.329777399470611,0.7692529250140714,9.901812514929638
5,1.1627728329900968,1.6361284047117521,-2.043979914327911,4.369525580308105
6,2.2577415323870462,2.2822565679336084,-2.215399144242818,6.73088220901691
7,3.844457102693526,2.223870865504798,-0.5142496999637967,8.203163905350848
8,5.904005514861785,2.7936130114343047,0.42862462570806503,11.379386404015506
9,3.9672289528767855,2.179535607319505,-0.30458234049207755,8.239040246245649
10,8.659271698168283,3.893798756977633,1.0275663714452916,16.290977024891273
11,5.506894418747025,3.0531590603798184,-0.47718737866957195,11.49097621616362
12,6.8584047101416274,3.5007846090034045,-0.0030070411371800887,13.719816461420436
13,4.831045431946693,2.634826159291476,-0.3331189457885948,9.995209809681981
14,0.05586479556146638,0.9946758651814546,-1.893664076485403,2.0053936676083355
15,5.198098369197993,3.216494615986625,-1.1061152346027834,11.502311972998768
16,10.443136486466713,3.692928856547984,3.2051289301639807,17.681144042769446
17,-3.6028465428107226,2.9372458963669796,-9.359742713428071,2.1540496278066255
18,10.704508798893153,3.483260447507505,3.877443773005572,17.531573824780736
