rel_month,att,se,ci_lo,ci_hi
-18,5.173415616454184,2.5177821517700805,0.2386532780670656,10.108177954841302
-17,3.4131654530449023,2.5554015848499665,-1.5953296192976074,8.421660525387413
-16,5.165317640353825,2.706097481237007,-0.13853596152526304,10.469171242232914
-15,7.857685353607,2.933039323412109,2.1090339144795385,13.60633679273446
-14,1.9565740866703893,3.0512018699635455,-4.023671688019425,7.936819861360204
-13,2.3755804137595464,3.0918904676135344,-3.6844135469056876,8.43557437442478
-12,3.1094804463866375,4.137601340092675,-5.000069162579669,11.219030055352944
-11,1.902874911557118,3.5856073302258706,-5.124786318388406,8.93053614150264
-10,0.11178374048478523,3.126947665819773,-6.016921066063558,6.240488547033129
-9,2.9077256126853026,2.744302930714677,-2.471009294183184,8.286460519553788
-8,-1.0793589897226814,3.428234620493237,-7.798575376442766,5.639857396997403
-7,1.3567194446092004,4.428349954335995,-7.322686976828943,10.036125866047344
-6,-0.09574561834575686,3.080110107125283,-6.13265049672912,5.941159260037606
-5,-1.5484525505108289,1.746036082284381,-4.97062038749563,1.8737152864739721
-4,-1.5693292046105984,2.8766172474933707,-7.207395407004348,4.068736997783152
-3,1.5296453199623907,3.23919991643447,-4.819069854974323,7.878360494899104
-2,0.10397361793160756,3.6522575000503035,-7.054319544433281,7.262266780296497
-1,0.0,,,
0,8.792348148371444,2.845229712059185,3.215800384992172,14.368895911750716
1,3.9583996325826636,3.168088531772957,-2.2509397895267105,10.167739054692039
2,-1.8717398595353725,2.3387210158381,-6.455548820464978,2.712069101394233
3,-0.9878257023512882,4.542456015761965,-9.890875894602047,7.9152244898994715
4,3.6193663690388624,2.988562195944465,-2.2381079005702254,9.47684063864795
5,2.2003224269862196,2.9173763765110823,-3.517630200323466,7.918275054295905
6,-1.9144370638205324,4.014432951495668,-9.782581067102871,5.953706939461807
7,2.64880351813725,4.016629102617444,-5.223644862248378,10.521251898522879
8,3.973969856369685,3.079164298522745,-2.0610812712164357,10.009020983955805
9,-0.015562681397674805,4.442955873756279,-8.723596178860669,8.692470816065319
10,1.4440183225363379,5.579276278466764,-9.491162243057186,12.37919888812986
11,2.2512389541059257,5.093651939239904,-7.732135396586889,12.23461330479874
12,5.197104727930664,3.8670586929876865,-2.382191036427736,12.776400492289063
13,2.322313744291938,4.647456820929666,-6.786534244435222,11.431161733019097
14,0.94960979713791,5.776336773651864,-10.371802241794038,12.271021836069858
15,-0.21528586598495195,1.5568212604644862,-3.2665994668615954,2.8360277348916916
16,-15.838866446284877,3.1425435120724496,-21.99813854979689,-9.679594342772862
17,-2.845120597567041,4.532047445226962,-11.72777036643865,6.037529171304568
18,-12.860108590091482,3.779132182918589,-20.267071561428153,-5.453145618754812
