rel_month,att,se,ci_lo,ci_hi
-18,2.5282966854391304,1.2891966678760134,0.0015176474130984552,5.055075723465162
-17,3.065778551416771,1.091136202401445,0.9271908924821317,5.2043662103514094
-16,2.6622066679354486,1.3432161802980112,0.029551331099887168,5.29486200477101
-15,1.481498118621761,1.561639125683283,-1.5792583245660925,4.542254561809615
-14,2.5725246923109744,1.191402804530815,0.2374181043505632,4.907631280271385
-13,3.1404987103580684,2.154501744849716,-1.0822471141760799,7.363244534892217
-12,2.59260362734736,1.971235854906583,-1.2709476533035664,6.456154907998286
-11,2.9169400429614702,1.2108734069296858,0.5436717755419731,5.290208310380967
-10,1.618683448669207,1.7362686727085994,-1.7843406173248106,5.021707514663225
-9,0.72151259623927,2.2049781183142407,-3.6001651023555397,5.04319029483408
-8,1.435530478313482,2.025366650331506,-2.5341152118247994,5.405176168451763
-7,-0.05632718651350138,0.7680377064015442,-1.5616534298292761,1.4489990568022735
-6,-1.0998945071720512,1.1131207190726058,-3.2815710269996856,1.0817820126555835
-5,0.9134609839481493,1.7842150215666612,-2.5835361989978627,4.410458166894161
-4,0.6217281426171992,0.928420852672753,-1.1979432911173642,2.4413995763517624
-3,2.027409264192119,2.1973766430972654,-2.2793698167480456,6.334188345132283
-2,1.5836815943748088,1.9602434424215427,-2.25832495370223,5.425688142451848
-1,0.0,,,
0,4.700558938370504,2.293019913327871,0.20632249241472067,9.194795384326287
1,4.435893066644047,2.3779058461117764,-0.2247167503622789,9.096502883650373
2,3.633687171848346,2.3747439594990767,-1.0207254612738894,8.288099804970582
3,-1.4883868986303928,0.8646665015748071,-3.1831021003552604,0.20632830309447492
4,-2.2523010199450813,1.4746722799785306,-5.142605577702568,0.6380035378124056
5,1.1159291611134623,2.0251828352889523,-2.8533562581615968,5.085214580388521
6,0.8235973539894899,2.430594309829426,-3.9402799543041747,5.587474662283154
7,-0.7706710674913733,2.533772271153484,-5.736773463978459,4.195431328995712
8,2.5313613466741174,2.919868783201835,-3.1914763079842707,8.254199001332506
9,-0.1583701375918074,2.2847036075500706,-4.63630692373868,4.319566648555066
10,-0.4850143695549123,2.9935808701553293,-6.352325059867434,5.382296320757609
11,1.367378392943235,2.2843689022700366,-3.1099023829093353,5.844659168795805
12,0.06896730291143838,2.476510143433513,-4.78490338556637,4.9228379913892475
13,-0.5479914513177584,2.840432215451983,-6.115136294130961,5.019153391495443
14,-0.4512792363753162,2.210019365176579,-4.782837597257485,3.8802791245068526
15,2.4796863680082817,2.890325872556848,-3.185248245787446,8.14462098180401
16,3.7941122685250073,3.38630015708939,-2.8429140802125246,10.431138617262539
17,3.939160908178202,3.436607618047661,-2.7964662521911956,10.674788068547599
18,3.9099599626123283,3.52437747790623,-2.997692962007993,10.817612887232649
