rel_month,att,se,ci_lo,ci_hi
-18,0.013596962668754087,0.00997236249017304,-0.0059485086527632375,0.03314243399027141
-17,-0.016871880239677194,0.017931385907695108,-0.05201675081164867,0.018272990332294285
-16,-0.10798848095345015,0.09651807390448935,-0.2971604296634245,0.08118346775652421
-15,0.2295839467066752,0.18855753557355132,-0.13998203203111542,0.5991499254444659
-14,-0.04769976786370712,0.04133757186599188,-0.1287199199293874,0.03332038420197316
-13,-0.05057967202740543,0.04309868333852624,-0.13505153915201334,0.033892195097202496
-12,0.10634458338337373,0.12059716531129638,-0.13002151726439032,0.3427106840311378
-11,-0.013441926298905947,0.009006781256127439,-0.031094893177546157,0.0042110405797342616
-10,-0.04151178489283978,0.034915460142975495,-0.10994482927671548,0.026921259491035916
-9,-0.053489664190495514,0.05043854035296876,-0.15234738671508447,0.04536805833409345
-8,-0.03989951559541763,0.03312850457055761,-0.10483019141538112,0.025031160224545865
-7,-0.04565594240111426,0.03716092205615819,-0.11849001126348443,0.02717812646125592
-6,-0.061251908240882384,0.09863165368430449,-0.2545663971977465,0.13206258071598173
-5,-0.0544949211744174,0.055291983434702555,-0.1628652173402197,0.05387537499138488
-4,-0.01222614845288723,0.01255367969284824,-0.03683090852432163,0.01237861161854717
-3,-0.06908039274357008,0.04319732845695459,-0.15374560074754828,0.0155848152604081
-2,-0.012551687775717451,0.027154035908878608,-0.06577262019202687,0.040669244640591976
-1,0.0,,,
0,-0.015500398656542218,0.014549320465156295,-0.0440165427677801,0.013015745454695665
1,0.0508715212022619,0.06037916231625759,-0.06746946235430101,0.1692125047588248
2,-0.013103060739002487,0.03668464588085589,-0.08500364545108567,0.058797523973080704
3,0.09604210371602781,0.13704701087933563,-0.17256510179633897,0.36464930922839456
4,0.04681148094817721,0.06114896422882175,-0.07303828663224152,0.16666124852859593
5,-0.020835005078424392,0.02763695981563164,-0.07500245095924314,0.03333244080239435
6,-0.01933652706876314,0.014680127599604745,-0.04810904845244088,0.009435994314914598
7,0.006598329356913973,0.020530201032737803,-0.03364012526261915,0.04683678397644709
8,5.8673711084341554e-05,0.01648929202681373,-0.03225974479203404,0.03237709221420272
9,-0.023813161200157862,0.017829248748686494,-0.058757846618989217,0.011131524218673493
10,0.06184961657645947,0.06786471687480414,-0.07116278431916431,0.19486201747208323
11,0.0055936659496616786,0.027610211115068145,-0.04852135344141937,0.05970868534074273
12,-0.02782695844985427,0.032124000507073,-0.09078884248306379,0.03513492558335524
13,-0.03749959028371895,0.023755121539555293,-0.084058772949619,0.009059592382181104
14,-0.02720890058141489,0.01995511749814584,-0.06632021218504576,0.01190241102221598
15,-0.015854398159262945,0.018297208487179382,-0.051716267811755146,0.02000747149322925
16,-0.09709244932625649,0.00932254192506586,-0.11536429574375028,-0.07882060290876271
17,-0.10708676488169858,0.010450881885417786,-0.1275701169837995,-0.08660341277959765
18,-0.09088501318152473,0.007064291599305103,-0.10473077029245159,-0.07703925607059786
