rel_month,att,se,ci_lo,ci_hi
-18,0.01638618784702496,0.00955453243791951,-0.002340351620416962,0.03511272731446688
-17,-0.02138134463592031,0.016348505872718848,-0.05342382734749082,0.010661138075650198
-16,-0.10575534505225977,0.09225717462782249,-0.2865760846382143,0.07506539453369478
-15,0.13253732202210936,0.10247021577519227,-0.0683006103853156,0.3333752544295343
-14,-0.03991925749523066,0.026362614123491283,-0.09158903171560054,0.011750516725139215
-13,-0.05077945976056404,0.042074639870381236,-0.13324423856900428,0.03168531904787619
-12,0.048955735828130766,0.06366516515279978,-0.0758256949411513,0.17373716659741284
-11,-0.015447834288207379,0.010526437003938374,-0.036079271701456306,0.005183603125041545
-10,-0.04218719915669883,0.03342061863543301,-0.1076904080231957,0.02331600970979804
-9,-0.027412633590080566,0.029382285060812273,-0.0850008540927619,0.030175586912600763
-8,-0.03142532211675671,0.023578744990313965,-0.0776388130984263,0.014788168864912889
-7,-0.0448069175775422,0.036818933660431166,-0.11697070150115679,0.02735686634607238
-6,-0.0270829739688225,0.08359627309194728,-0.190928658470814,0.136762710533169
-5,-0.03877888977985465,0.04068870625978742,-0.11852728862656745,0.040969509066858145
-4,-0.010198132367153792,0.009068455368829841,-0.027971978285469174,0.00757571355116159
-3,-0.05243298728243936,0.027162554361093456,-0.1056706155582939,0.0008046409934151927
-2,-0.006959269742647499,0.024161572834948762,-0.054315082308988405,0.04039654282369341
-1,0.0,,,
0,-0.02021057113468423,0.0203975993535033,-0.06018913123862818,0.019767988969259725
1,0.0523413522064507,0.05963976156780546,-0.06455043251300407,0.16923313692590547
2,-0.0074567215059700605,0.03130155055417972,-0.06880663325242208,0.05389319024048196
3,0.01657945495828611,0.07641246260245042,-0.1331862197125305,0.16634512962910272
4,0.04091729857958061,0.05857238068485511,-0.07388245805150491,0.15571705521066614
5,-0.012335707749252682,0.024446207746138173,-0.06024939449026759,0.035577978991762224
6,-0.020439501292069957,0.01542597725611353,-0.05067386114038648,0.009794858556246566
7,0.004810489511365368,0.019600729479150415,-0.03360623433848198,0.04322721336121271
8,0.005266171292183569,0.018719893248406266,-0.03142414526912723,0.041956487853494366
9,-0.024581294546816693,0.017078898930820544,-0.0580553213468246,0.008892732253191211
10,0.06123365362086826,0.06766149503045614,-0.07138043977896162,0.19384774702069812
11,0.0035322037981244795,0.029628214735096206,-0.05453803000888302,0.06160243760513198
12,-0.027357811255519705,0.031926764003410345,-0.08993311884511382,0.0352174963340744
13,-0.03879453882445615,0.02399321159725993,-0.08582036942853435,0.008231291779622056
14,-0.02938905501403232,0.02173574176684903,-0.07199032605431943,0.013212216026254782
15,-0.018658491075946682,0.018941105277777197,-0.05578237524777152,0.01846539309587816
16,-0.10122390379215494,0.012404580020234786,-0.12553643387516025,-0.07691137370914963
17,-0.11019202206149024,0.012617571260631497,-0.1349220073046956,-0.08546203681828486
18,-0.09048192367771853,0.009659004314103225,-0.10941322425987786,-0.0715506230955592
